Rank,Player,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
130,Guglielmo Vicario,Tottenham,28,GK,38,3420,-,-,-,-,-,0.2,-,-,-,6.75
131,Malo Gusto,Chelsea,21,"D(R),M(R)",19(8),1756,-,6,0.6,1.2,0.6,1.1,0.2,0.4,1.2,6.74
132,Callum Wilson,Newcastle,32,FW,9(11),984,9,1,1.8,0.4,0.7,0.9,0.2,1.8,2.4,6.74
133,Nathan Aké,Man City,29,"D(CL),DMC",24(5),2044,2,2,0.7,0.3,0.2,0.6,-,0.1,0.3,6.73
134,Lewis Dunk,Brighton,33,D(C),33,2873,3,1,1,0.4,0.2,0.4,-,0.1,0.3,6.73
135,Neto,Bournemouth,35,GK,32,2880,-,-,-,-,0.1,-,-,-,-,6.73
136,Pervis Estupiñán,Brighton,26,"D(L),M(L)",15(4),1248,2,3,0.6,1.4,0.5,0.9,0.3,0.3,1.1,6.73
137,Jan Paul van Hecke,Brighton,24,D(C),26(2),2368,-,-,0.5,0.4,0.2,0.6,-,0.1,0.6,6.72
138,Chris Richards,Crystal Palace,24,"D(C),DMC",23(3),2092,1,1,0.4,0.2,-,0.3,-,0.2,0.3,6.72
139,Pablo Sarabia,Wolves,32,"D(L),M(CLR),FW",20(10),1752,4,7,1.5,1.7,0.6,0.8,0.3,0.8,1.4,6.72
140,Willian,Fulham,36,AM(CLR),24(7),2061,4,2,1.5,1.4,0.9,1,-,0.8,1.1,6.72
141,Jack Grealish,Man City,29,"AM(CL),FW",10(10),1004,3,1,1.1,1.3,0.9,2.1,0.1,1.1,1,6.72
142,José Sá,Wolves,31,GK,35,3039,-,1,-,-,0.1,0.3,-,-,-,6.72
143,Yves Bissouma,Tottenham,28,M(C),26(2),2088,-,-,0.9,0.4,1,1.1,-,1.1,1.2,6.72
144,Maximilian Kilman,Wolves,27,D(C),38,3420,2,-,0.4,0.4,0.3,0.5,0.1,0.3,0.2,6.71
145,Mathias Jensen,Brentford,28,M(C),27(5),2220,3,3,0.4,1.3,0.6,0.6,0.1,0.6,1,6.71
146,Scott McTominay,Man Utd,28,"D(C),M(C)",18(14),1893,7,1,1.4,0.3,0.3,0.7,0.2,0.7,0.9,6.71
147,Destiny Udogie,Tottenham,22,"D(L),M(L)",28,2398,2,3,0.3,0.9,0.9,1.3,0.1,0.9,1.8,6.71
148,Amadou Onana,Everton,23,DMC,23(7),2094,2,-,1,0.6,0.4,1.5,-,0.3,0.7,6.71
149,Jordan Pickford,Everton,30,GK,38,3420,-,-,-,0.1,-,0.2,-,-,-,6.71
150,Emiliano Martínez,Aston Villa,32,GK,34,3016,-,-,-,0.1,-,0.2,-,-,-,6.71
151,Harvey Elliott,Liverpool,21,AM(CR),11(23),1339,3,6,1.4,1.1,0.3,0.4,-,0.3,0.4,6.70
152,Rasmus Højlund,Man Utd,21,FW,25(5),2172,10,2,1.3,0.9,0.6,1,0.5,1,1.7,6.70
153,Murillo,Nottingham Forest,22,D(C),32,2793,-,2,0.5,0.2,0.6,0.2,-,0.5,0.6,6.69
154,Marcus Rashford,Man Utd,27,"AM(CLR),FW",26(7),2279,7,2,1.9,0.8,1.5,0.6,0.4,1.2,1.8,6.69
155,Lucas Digne,Aston Villa,31,"D(CL),M(L)",27(6),2413,1,3,0.6,1.1,0.3,0.9,0.1,0.5,0.5,6.68
156,Bernd Leno,Fulham,32,GK,38,3420,-,-,-,-,-,0.1,-,-,-,6.68
157,Vitaly Janelt,Brentford,26,"D(L),DMC",37(1),3072,1,3,0.6,1,0.2,0.7,0.1,0.3,0.7,6.68
158,Luis Sinisterra,Bournemouth,25,"AM(LR),FW",7(13),692,2,2,1.4,1,1.5,0.3,0.2,0.5,1.2,6.68
159,Sean Longstaff,Newcastle,27,DMC,30(5),2748,6,2,1.2,0.6,0.3,1,0.1,1,1,6.67
160,João Gomes,Wolves,23,M(C),32(2),2660,2,1,0.8,0.6,0.8,1.1,-,1.3,1.2,6.67
